name,category,address,city,phone,website,email,rating,reviewCount,googleMapsUrl
Adelya Al Medina beauty salon,Beauty salon,One by Omniyat - ShopG05 - Business Bay - Dubai - United Arab Emirates,Dubai,+971 55 131 8805,https://www.instagram.com/thelab_uae?igsh=aXpmejZtMzM3ZXJk&utm_source=qr,,4.8,513,https://www.google.com/maps/search/?api=1&query=Adelya%20Al%20Medina%20beauty%20salon&query_place_id=ChIJzTaI53RpXz4R22ZtkxZ45xk
Dilara Beauty Salon,Beauty salon,"Triple 777 Center Al Wasl Road, Jumeriah 3 Al Safee Street - Al Shaari Street - Dubai - United Arab Emirates",Dubai,+971 50 202 9108,https://dilarabeauty.ae/,Info@dilarabeauty.ae,4.9,185,https://www.google.com/maps/search/?api=1&query=Dilara%20Beauty%20Salon&query_place_id=ChIJHbEf4F65eiURxBnD7-heiBg
Amaya Salon & Spa - Burj Downtown Dubai,Beauty salon,The Residences 1 Tower 1 - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,Dubai,+971 4 374 1496,http://www.amayasalon.ae/,info@amayasalon.ae,3.8,129,https://www.google.com/maps/search/?api=1&query=Amaya%20Salon%20%26%20Spa%20-%20Burj%20Downtown%20Dubai&query_place_id=ChIJPdkRjpZpXz4R9N6rDpYiMPE
Eclat de Beaute Dubai Salon & Spa,Beauty salon,"One by Omniyat - Shop G02, Ground Floor - Business Bay - Dubai - United Arab Emirates",Dubai,+971 58 573 1308,https://www.instagram.com/eclatdebeautedubai,,4.8,100,https://www.google.com/maps/search/?api=1&query=Eclat%20de%20Beaute%20Dubai%20Salon%20%26%20Spa&query_place_id=ChIJh3ZT77BpXz4RKpGxDjSgt4o
Glam Girlz Mena Salon LLC,Beauty salon,Mall near Cinema - FInancial St - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,Dubai,+971 52 784 6378,https://www.glamgirlz.me/,,5,818,https://www.google.com/maps/search/?api=1&query=Glam%20Girlz%20Mena%20Salon%20LLC&query_place_id=ChIJ9f80-8ZDXz4R-RUfwpMn42c
COPPER BEAUTY (formerly MIKE ALAM BEAUTY),Beauty salon,Emirates Financial Towers - Zaa'beel Second - DIFC - Dubai - United Arab Emirates,Dubai,+971 50 201 8562,http://www.copperuae.com/,info@copperuae.com,4.8,346,https://www.google.com/maps/search/?api=1&query=COPPER%20BEAUTY%20(formerly%20MIKE%20ALAM%20BEAUTY)&query_place_id=ChIJ9RwoRI9CXz4RnPF0buOljto
DentalDate Dental Clinic,Dental clinic,"UAE, Dubai, Citywalk Building 23A - Dubai - United Arab Emirates",Dubai,+971 56 717 7223,https://dentaldate.ae/,info@dentaldate.ae,4.8,276,https://www.google.com/maps/search/?api=1&query=DentalDate%20Dental%20Clinic&query_place_id=ChIJz74c5phDXz4Rg6MFpFqhqbI
Otana Beauty By NAJI | Best Beauty Salon in Business Bay,Beauty salon,"Paramount Hotel, Damac Towers - Tower C, Floor A Marasi Dr - Business Bay - Dubai - United Arab Emirates",Dubai,+971 50 887 9547,https://new.otanabeautycenterbynaji.com/,,4.9,375,https://www.google.com/maps/search/?api=1&query=Otana%20Beauty%20By%20NAJI%20%7C%20Best%20Beauty%20Salon%20in%20Business%20Bay&query_place_id=ChIJy64j2UxpXz4RbA3zoorvT8M
Adelya Beauty Salon,Beauty salon,Marasi Dr - Business Bay - Dubai - United Arab Emirates,Dubai,+971 52 669 1504,https://taplink.cc/theadelya.beauty,,4.4,3768,https://www.google.com/maps/search/?api=1&query=Adelya%20Beauty%20Salon&query_place_id=ChIJj7jMk9dpXz4RpgWmZysF8Mk
Nooora Beauty Concierge,Beauty salon,,Dubai,+971 55 500 7326,https://nooora.ae/,info@nooora.ae,4.7,1053,https://www.google.com/maps/search/?api=1&query=Nooora%20Beauty%20Concierge&query_place_id=ChIJpX2T-lxpXz4RjDY730JqBmQ
Rami Arabi Beauty Salon,Beauty salon,downtown Hotel Entrance - Al Khaleej Al Tejari 1 St - 1st Fl. Anantara - Marasi Dr - Dubai - United Arab Emirates,Dubai,+971 4 589 0555,https://www.google.com/maps/search/?api=1&query=Rami%20Arabi%20Beauty%20Salon&query_place_id=ChIJv9rfIaBpXz4RlVqMpulSc-w,,4.8,691,https://www.google.com/maps/search/?api=1&query=Rami%20Arabi%20Beauty%20Salon&query_place_id=ChIJv9rfIaBpXz4RlVqMpulSc-w
Nboutique,Beauty salon,Down Town Rd - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,Dubai,+971 56 111 1017,https://nboutique.ae/,,4.7,261,https://www.google.com/maps/search/?api=1&query=Nboutique&query_place_id=ChIJeXa6SadpXz4RfuTot_YvmUg
